user_id,genre,play_count
user_1,Rock,9
user_10,Rock,7
user_100,Pop,7
user_11,Rock,3
user_12,Jazz,7
user_13,Pop,7
user_14,Hip-Hop,6
user_15,Hip-Hop,8
user_16,Hip-Hop,8
user_17,Hip-Hop,5
user_18,Rock,6
user_19,Rock,4
user_2,Hip-Hop,4
user_20,Rock,5
user_21,Classical,5
user_22,Pop,11
user_23,Hip-Hop,6
user_24,Rock,3
user_25,Rock,7
user_26,Classical,8
user_27,Jazz,6
user_28,Jazz,5
user_29,Rock,8
user_3,Pop,3
user_30,Pop,6
user_31,Hip-Hop,4
user_32,Rock,6
user_33,Hip-Hop,2
user_34,Hip-Hop,5
user_35,Jazz,5
user_36,Hip-Hop,5
user_37,Hip-Hop,10
user_38,Jazz,3
user_39,Hip-Hop,6
user_4,Pop,9
user_40,Pop,6
user_41,Classical,8
user_42,Pop,7
user_43,Rock,5
user_44,Hip-Hop,9
user_45,Hip-Hop,8
user_46,Classical,7
user_47,Hip-Hop,4
user_48,Classical,5
user_49,Hip-Hop,9
user_5,Jazz,5
user_50,Hip-Hop,6
user_51,Classical,12
user_52,Jazz,6
user_53,Classical,7
user_54,Rock,6
user_55,Rock,8
user_56,Hip-Hop,13
user_57,Jazz,6
user_58,Classical,8
user_59,Rock,7
user_6,Hip-Hop,6
user_60,Pop,10
user_61,Hip-Hop,4
user_62,Pop,1
user_63,Classical,7
user_64,Pop,16
user_65,Jazz,6
user_66,Classical,10
user_67,Pop,5
user_68,Rock,7
user_69,Hip-Hop,7
user_7,Classical,8
user_70,Jazz,4
user_71,Pop,6
user_72,Classical,10
user_73,Jazz,9
user_74,Hip-Hop,11
user_75,Pop,5
user_76,Pop,3
user_77,Pop,5
user_78,Classical,10
user_79,Rock,7
user_8,Jazz,3
user_80,Hip-Hop,6
user_81,Pop,8
user_82,Classical,9
user_83,Jazz,5
user_84,Jazz,7
user_85,Jazz,6
user_86,Classical,9
user_87,Classical,10
user_88,Hip-Hop,8
user_89,Classical,3
user_9,Pop,11
user_90,Hip-Hop,9
user_91,Classical,6
user_92,Classical,6
user_93,Jazz,5
user_94,Classical,8
user_95,Hip-Hop,5
user_96,Rock,5
user_97,Jazz,12
user_98,Jazz,5
user_99,Hip-Hop,8
